Preparation,Application,Examination,Overall,course,min_category,atrisk
100.0,98.5,96.78522571819425,96.78522571819425,winter2025,Examination,False
92.0,99.0,98.83720930232558,92.0,winter2025,Preparation,False
100.0,100.0,94.87688098495212,94.87688098495212,winter2025,Examination,False
100.0,100.0,95.9186046511628,95.9186046511628,winter2025,Examination,False
90.00666666666667,68.9,93.45417236662107,68.9,winter2025,Application,False
100.0,100.0,97.54445964432284,97.54445964432284,winter2025,Examination,False
88.0,96.0,91.5297537619699,88.0,winter2025,Preparation,False
100.0,92.0,97.02325581395348,92.0,winter2025,Application,False
96.0,100.0,97.67441860465117,96.0,winter2025,Preparation,False
100.0,100.0,99.5,99.5,winter2025,Examination,False
91.66666666666669,99.0,93.76196990424077,91.66666666666669,winter2025,Preparation,False
100.0,97.5,98.52325581395348,97.5,winter2025,Application,False
92.0,99.0,82.30095759233924,82.30095759233924,winter2025,Examination,False
97.66666666666669,93.5,93.14021887824897,93.14021887824897,winter2025,Examination,False
94.08000000000001,67.65,65.58926128590971,65.58926128590971,winter2025,Examination,False
88.0,95.0,94.43296853625169,88.0,winter2025,Preparation,False
74.65333333333332,74.15,82.68194254445964,74.15,winter2025,Application,False
91.2,98.5,89.32079343365253,89.32079343365253,winter2025,Examination,False
79.03999999999999,96.5,94.46545827633379,79.03999999999999,winter2025,Preparation,False
96.0,94.0,76.89261285909713,76.89261285909713,winter2025,Examination,False
100.0,99.0,96.25581395348837,96.25581395348837,winter2025,Examination,False
95.54666666666667,98.833,89.49145006839946,89.49145006839946,winter2025,Examination,False
91.52,98.75,92.51231190150479,91.52,winter2025,Preparation,False
88.0,100.0,91.70998632010944,88.0,winter2025,Preparation,False
97.85333333333332,93.5,86.7298221614227,86.7298221614227,winter2025,Examination,False
95.33333333333331,95.95,96.51162790697674,95.33333333333331,winter2025,Preparation,False
96.0,93.4,99.16279069767441,93.4,winter2025,Application,False
94.0,100.0,98.83720930232558,94.0,winter2025,Preparation,False
96.0,99.0,96.01162790697674,96.0,winter2025,Preparation,False
85.50666666666666,90.64999999999999,94.2688098495212,85.50666666666666,winter2025,Preparation,False
78.0,83.0,93.31053351573186,78.0,winter2025,Preparation,False
91.0,98.9,98.45348837209302,91.0,winter2025,Preparation,False
99.48,97.467,93.54719562243501,93.54719562243501,winter2025,Examination,False
100.0,100.0,97.47674418604652,97.47674418604652,winter2025,Examination,False
90.66666666666666,82.0,74.80027359781123,74.80027359781123,winter2025,Examination,False
96.0,99.0,95.22093023255815,95.22093023255815,winter2025,Examination,False
100.0,100.0,99.4093707250342,99.4093707250342,winter2025,Examination,False
60.70666666666667,98.0,96.3953488372093,60.70666666666667,winter2025,Preparation,False
95.2,98.0,98.12585499316006,95.2,winter2025,Preparation,False
88.0,100.0,87.41860465116278,87.41860465116278,winter2025,Examination,False
96.0,100.0,97.67441860465117,96.0,winter2025,Preparation,False
83.86666666666667,95.5,91.58686730506156,83.86666666666667,winter2025,Preparation,False
90.86666666666667,91.4,91.37243502051983,90.86666666666667,winter2025,Preparation,False
92.0,95.0,90.71409028727771,90.71409028727771,winter2025,Examination,False
96.0,98.0,98.2329001367989,96.0,winter2025,Preparation,False
83.72,88.417,87.29103967168264,83.72,winter2025,Preparation,False
96.0,88.0,91.8139534883721,88.0,winter2025,Application,False
98.0,100.0,93.25341997264022,93.25341997264022,winter2025,Examination,False
46.07333333333334,86.45,91.82558139534883,46.07333333333334,winter2025,Preparation,True
58.86666666666668,72.4,81.26607387140902,58.86666666666668,winter2025,Preparation,False
90.66666666666669,98.0,88.7421340629275,88.7421340629275,winter2025,Examination,False
92.0,100.0,96.61525307797537,92.0,winter2025,Preparation,False
85.0,98.667,94.35704514363886,85.0,winter2025,Preparation,False
100.0,100.0,98.83720930232558,98.83720930232558,winter2025,Examination,False
62.4,85.2,85.65731874145007,62.4,winter2025,Preparation,False
96.0,98.85,94.13953488372093,94.13953488372093,winter2025,Examination,False
100.0,98.0,94.12790697674419,94.12790697674419,winter2025,Examination,False
79.32,98.0,92.98905608755129,79.32,winter2025,Preparation,False
99.2,100.0,98.83720930232558,98.83720930232558,winter2025,Examination,False
100.0,99.0,100.0,99.0,winter2025,Application,False
96.88666666666668,72.80000000000001,92.21545827633379,72.80000000000001,winter2025,Application,False
46.593333333333334,41.00000000000001,43.529411764705884,41.00000000000001,winter2025,Application,True
99.66666666666669,96.0,96.12790697674419,96.0,winter2025,Application,False
96.0,98.0,99.76744186046511,96.0,winter2025,Preparation,False
98.0,90.4,89.43673050615595,89.43673050615595,winter2025,Examination,False
76.0,70.0,65.58139534883722,65.58139534883722,winter2025,Examination,False
96.0,96.0,96.31395348837209,96.0,winter2025,Preparation,False
93.0,99.0,92.41655266757866,92.41655266757866,winter2025,Examination,False
92.0,100.0,95.86080711354309,92.0,winter2025,Preparation,False
37.86666666666667,23.667,0.0,0.0,winter2025,Examination,True
100.0,99.0,95.49316005471957,95.49316005471957,winter2025,Examination,False
96.0,99.0,98.83720930232558,96.0,winter2025,Preparation,False
96.0,99.0,99.15116279069767,96.0,winter2025,Preparation,False
94.86666666666667,97.96700000000001,93.59097127222984,93.59097127222984,winter2025,Examination,False
96.46666666666665,94.2,96.51162790697674,94.2,winter2025,Application,False
100.0,95.0,97.67441860465117,95.0,winter2025,Application,False
82.86666666666667,97.94999999999999,95.24487004103968,82.86666666666667,winter2025,Preparation,False
91.66666666666669,93.0,98.6046511627907,91.66666666666669,winter2025,Preparation,False
72.11999999999999,87.86700000000002,88.48153214774281,72.11999999999999,winter2025,Preparation,False
92.0,97.0,98.83720930232558,92.0,winter2025,Preparation,False
80.0,89.0,82.76060191518468,80.0,winter2025,Preparation,False
59.22,77.63300000000001,91.96067031463747,59.22,winter2025,Preparation,False
